,Source,Target,Value
0,Brazil,Asia,131513817769.0
1,Brazil,North America,55035315299.0
2,Brazil,South America,20436279954.0
3,Brazil,Europe,35935197276.0
4,Brazil,Other/Unknown,4543655263.0
5,Brazil,Africa,3996647676.0
6,Asia,China,94411140802.0
7,North America,USA,40916672535.0
8,South America,Argentina,13778181666.0
9,Europe,Netherlands,11764043341.0
10,Europe,Spain,9936770335.0
11,Asia,Singapore,7902426238.0
12,North America,Mexico,7801789195.0
13,South America,Chile,6658098288.0
14,North America,Canada,6316853569.0
15,Europe,Germany,5852295628.0
16,Asia,Japan,5577998685.0
17,Asia,Rep. of Korea,5508091295.0
18,Asia,India,5260909480.0
19,Other/Unknown,United Arab Emirates,4543655263.0
20,Asia,Indonesia,4487454436.0
21,Europe,Italy,4466598272.0
22,Asia,Malaysia,4318735523.0
23,Asia,Viet Nam,4047061310.0
24,Africa,Egypt,3996647676.0
25,Europe,Belgium,3915489700.0
